strain_id	gene_name
20121220NXTT008	chitinase
20121220NXTT010	chitinase
20121220NXTT011	chitinase
20121220NXTT012	chitinase
20121220NXTT014	chitinase
20121220NXTT015	chitinase
20121220NXTT016	chitinase
20121220NXTT017	chitinase
20121220NXTT021	chitinase
20121220NXTT026	chitinase
20121220NXTT027	chitinase
20121220NXTT030	chitinase
20121220NXTT032	chitinase
20121220NXTT034	chitinase
20121220NXTT039	chitinase
20121220NXTT044	chitinase
20121220NXTT050	chitinase
20121220NXTT051	chitinase
20121220NXTT058	chitinase
20121220NXTT059	chitinase
20121220NXTT061	chitinase
20121220NXTT062	chitinase
20121220NXTT064	chitinase
20121220NXTT067	chitinase
20121220NXTT068	chitinase
20121220NXTT069	chitinase
20130108NXTT149	chitinase
20130108NXTT150	chitinase
20130108WXXT010	chitinase
20130108WXXT011	chitinase
20130108WXXT012	chitinase
20130110LHLT030	chitinase
20130225WXXT013	chitinase
20130305WXXT015	chitinase
20130305WXXT016	chitinase
20130305WXXT018	chitinase
20130305WXXT020	chitinase
20130305WXXT021	chitinase
20130305WXXT022	chitinase
20130305WXXT025	chitinase
20130305WXXT069	chitinase
20130305WXXT070	chitinase
20130305WXXT072	chitinase
20130305WXXT073	chitinase
20130305WXXT074	chitinase
20130310HHT021	chitinase
20130314NXTT158	chitinase
20130314WXXT035	chitinase
20130314WXXT036	chitinase
20130320YJPT001	chitinase
20130320YJPT002	chitinase
20130320YJPT009	chitinase
20130320YJPT010	chitinase
20130320YJPT027	chitinase
20130320YJPT030	chitinase
20130320YJPT049	chitinase
20130324YJPT073	chitinase
20130324YJPT077	chitinase
20130325WXXT048	chitinase
20130325WXXT053	chitinase
20130325WXXT055	chitinase
20130325WXXT056	chitinase
20130325WXXT058	chitinase
20130325WXXT061	chitinase
20130325WXXT062	chitinase
20130325WXXT063	chitinase
20130325WXXT067	chitinase
20130411HHT044	chitinase
20130411HHT058	chitinase
20130412LHLT115	chitinase
20130412LHLT116	chitinase
20130412LHLT117	chitinase
20130412LHLT118	chitinase
20130412LHLT119	chitinase
20130412LHLT120	chitinase
20130412LHLT121	chitinase
20130412LHLT122	chitinase
20130412LHLT123	chitinase
20130412LHLT124	chitinase
20130412LHLT125	chitinase
20130412LHLT126	chitinase
20130412LHLT127	chitinase
20130412LHLT128	chitinase
20130412LHLT129	chitinase
20130412LHLT130	chitinase
20130412LHLT131	chitinase
20130412LHLT132	chitinase
20130412LHLT135	chitinase
20130412LHLT140	chitinase
20130412YJPT252	chitinase
20130412YJPT325	chitinase
20130412YJPT343	chitinase
20130412YJPT344	chitinase
20130412YJPT349	chitinase
20130414LHLT144	chitinase
20130414LHLT148	chitinase
20130414LHLT153	chitinase
20130414LHLT155	chitinase
20130414LHLT158	chitinase
20130414LHLT166	chitinase
20130414LHLT170	chitinase
20130414LHLT172	chitinase
20130414LHLT175	chitinase
20130414LHLT176	chitinase
20130414LHLT179	chitinase
20130414LHLT180	chitinase
20130414LHLT183	chitinase
20130414LHLT192	chitinase
20130414LHLT193	chitinase
20130414LHLT194	chitinase
20130414LHLT195	chitinase
20130414LHLT197	chitinase
20130414LHLT198	chitinase
20130414LHLT207	chitinase
20121220NXTT072	chitinase
20121220NXTT074	chitinase
20121220NXTT082	chitinase
20121220NXTT083	chitinase
20121220NXTT084	chitinase
20121220NXTT085	chitinase
20121220NXTT086	chitinase
20121220NXTT087	chitinase
20121223NXTT100	chitinase
20121223NXTT105	chitinase
20121223NXTT107	chitinase
20121223NXTT108	chitinase
20121223NXTT109	chitinase
20121223NXTT115	chitinase
20121223NXTT126	chitinase
20121223NXTT131	chitinase
20121223NXTT137	chitinase
20121223NXTT139	chitinase
20121223NXTT13	chitinase
20121223NXTT141	chitinase
20121223NXTT142	chitinase
20121223NXTT144	chitinase
20121229NXTT089	chitinase
20121229NXTT091	chitinase
20121229NXTT093	chitinase
20121229NXTT095	chitinase
20130101LHLT001	chitinase
20130101LHLT004	chitinase
20130101LHLT009	chitinase
20130101LHLT026	chitinase
20130101LHLT028	chitinase
20130103WXXT001	chitinase
20130105LHLT033	chitinase
20130105LHLT057	chitinase
20130105LHLT067	chitinase
20130106LHLT068	chitinase
20130106LHLT080	chitinase
20130106LHLT083	chitinase
20130108NXTT145	chitinase
20130108NXTT146	chitinase
20130108NXTT147	chitinase
20130407WXXT176	chitinase
20130407WXXT179	chitinase
20130407WXXT183	chitinase
20130407WXXT184	chitinase
20130407WXXT185	chitinase
20130407WXXT186	chitinase
20130407WXXT188	chitinase
20130407WXXT190	chitinase
20130407WXXT193	chitinase
20130407WXXT194	chitinase
20130407WXXT195	chitinase
20130407WXXT197	chitinase
20130407WXXT198	chitinase
20130407WXXT200	chitinase
20130407WXXT201	chitinase
20130407WXXT202	chitinase
20130407WXXT211	chitinase
20130407WXXT216	chitinase
20130407WXXT219	chitinase
20130407WXXT222	chitinase
20130407WXXT223	chitinase
20130407WXXT224	chitinase
20130407WXXT225	chitinase
20130407WXXT231	chitinase
20130407WXXT236	chitinase
20130407WXXT240	chitinase
20130407WXXT243	chitinase
20130407WXXT245	chitinase
20130407WXXT259	chitinase
20130407WXXT261	chitinase
20130407WXXT263	chitinase
20130407WXXT265	chitinase
20130407WXXT266	chitinase
20130407WXXT268	chitinase
20130407WXXT270	chitinase
20130407WXXT274	chitinase
20130407WXXT283	chitinase
20130407WXXT284	chitinase
20130407WXXT298	chitinase
20130407WXXT310	chitinase
20130407WXXT320	chitinase
20140925LHMT047	chitinase
20140926LTT425	chitinase
20140930XART177	chitinase
20140930XART185	chitinase
20140930XART190	chitinase
20141004XART208	chitinase
20141004XART209	chitinase
20141009XART218	chitinase
20141009XART221	chitinase
20141012WST097	chitinase
20141012WST109	chitinase
20141023WST136	chitinase
20141101WST143	chitinase
20141101WST144	chitinase
20140824LTT271	chitinase
20140827WSYT006	chitinase
20140827WSYT008	chitinase
20140828LTT287	chitinase
20140828LTT293	chitinase
20140828LTT303	chitinase
20140828LTT303	chitinase
20140828LTT311	chitinase
20140828LTT311	chitinase
20140828LTT312	chitinase
20140828LTT312	chitinase
20140720LTT216	chitinase
20140723LTT215	chitinase
20140723LTT218	chitinase
20140723LTT219	chitinase
20140723LTT233	chitinase
20140723LTT235	chitinase
20140723LTT236	chitinase
20140728LTT242	chitinase
20140728LTT243	chitinase
20140920LTT410	chitinase
20140920WST013	chitinase
20140920XART095	chitinase
20140923LMMT052	chitinase
20140923LMMT062	chitinase
20140923LMMT065	chitinase
20140923LMMT065	chitinase
20140923LMMT065	chitinase
20140923LMMT073	chitinase
20140923LMMT093	chitinase
20140923LMMT105	chitinase
20140923LMMT107	chitinase
20140923WST025	chitinase
20140924WST046	chitinase
20140821CDWT017	chitinase
20140821CDWT017	chitinase
20140822LTT265	chitinase
20140824LTT247	chitinase
20140824LTT247	chitinase
20140824LTT252	chitinase
20140824LTT263	chitinase
20140824LTT270	chitinase
20140906WSYT016	chitinase
20140906WSYT041	chitinase
20140906WSYT059	chitinase
20140906WSYT061	chitinase
20140906WSYT065	chitinase
20140906WSYT068	chitinase
20140907CDWT051	chitinase
20140907CDWT052	chitinase
20140907CDWT099	chitinase
20140907CDWT113	chitinase
20140909LTT392	chitinase
20140912CDWT127	chitinase
20140916XART012	chitinase
20140916XART018	chitinase
20140916XART046	chitinase
20150924WLTT150	chitinase
20150924WLTT150	chitinase
20150926WLTT158	chitinase
20150914WLTT089	chitinase
20150914WLTT097	chitinase
20150915WLTT103	chitinase
20150915WLTT105	chitinase
20150924WLTT107	chitinase
20150924WLTT108	chitinase
20150924WLTT108	chitinase
20150924WLTT111	chitinase
20150924WLTT113	chitinase
20150924WLTT119	chitinase
20150924WLTT121	chitinase
20150924WLTT122	chitinase
20150924WLTT126	chitinase
20150924WLTT131	chitinase
20150805TZMT125	chitinase
20150805TZMT132	chitinase
20150805TZMT141	chitinase
20150805TZMT143	chitinase
20150806TZMT161	chitinase
20150806TZMT161	chitinase
20150811TZMT166	chitinase
20140412ZCT067	chitinase
20140413ZCT081	chitinase
20140413ZCT084	chitinase
20140414ZCT089	chitinase
20140414ZCT091	chitinase
20140414ZCT097	chitinase
20140415LTT101	chitinase
20140415LTT127	chitinase
20140415YJPT508	chitinase
20140426LTT167	chitinase
20140426LTT180	chitinase
20140504YJPT532	chitinase
20140504YJPT543	chitinase
20140504YJPT563	chitinase
20140520LTT184	chitinase
20140524LTT191	chitinase
